::1 - - [13/Mar/2025:17:38:11 +0000] "POST /orders HTTP/1.1" 200 409
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:16:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:16:22 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:16:22 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:16:22 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:10 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:10 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:10 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:10 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:11 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:11 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:11 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:11 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:12 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:12 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:18:13 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:19:19 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:19:19 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:19:19 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:19:19 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:20:46 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:20:46 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:20:47 +0000] "GET /cart HTTP/1.1" 200 215
::1 - - [13/Mar/2025:18:20:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:10 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:10 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:26 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:26 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:33 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:33 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:33 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /books HTTP/1.1" 200 2855
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:33 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:22:34 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:03 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:03 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:03 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:03 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:03 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:03 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:03 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:03 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:04 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:04 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:10 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:10 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:11 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:11 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:11 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:11 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:11 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:27 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:27 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:27 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:27 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:44 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:44 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:23:44 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:23:44 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:07 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:18 +0000] "OPTIONS /books?page=1& HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:18 +0000] "GET /books?page=1& HTTP/1.1" 200 2256
::1 - - [13/Mar/2025:18:24:18 +0000] "GET /uploads/1741835960905-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:18 +0000] "GET /uploads/1741835977830-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:31 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:31 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:24:31 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:24:31 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:25:03 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:25:03 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:25:03 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:25:03 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:25:03 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:25:04 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:46 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:46 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /books HTTP/1.1" 200 2855
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:47 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /cart HTTP/1.1" 200 215
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:27:54 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:31:36 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:36 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:37 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:31:37 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:33:33 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:33:33 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:33:33 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:33:33 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:08 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:08 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:08 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:08 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:11 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:11 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:11 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:47 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:47 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:48 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:48 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/42 HTTP/1.1" 304 -
